name,peliaikaAlle30min,peliaika31to60min,peliaika1hto2h,peliaikayli2h
"Im Zeichen des Kreuzes",0,0,1,0
"Netrunner",0,1,0,0
"Cosmic Wimpout",1,0,0,0
"Credo",0,1,0,0
"Ulysses",0,1,0,0
"Krakatoa",0,1,0,0
"Confusion",1,0,0,0
"Die Magier von Pangea",0,1,0,0
"Nur Peanuts!",0,1,0,0
"1826",0,0,0,1
"Warhamster Rally",0,1,0,0
"Africa",0,1,0,0
"Magic Hill",1,0,0,0
"Catch the Match",1,0,0,0
"Chip-Chip Hurra",0,1,0,0
"Cry Havoc",0,0,0,1
"Café International: Das Kartenspiel",0,1,0,0
"MacGregor",1,0,0,0
"Hyle",0,1,0,0
"Savannah Café",1,0,0,0
"Showdown Yahtzee",1,0,0,0
"Boom-O",1,0,0,0
"Entdecker: Exploring New Horizons",0,0,1,0
"Gnadenlos!",0,1,0,0
"Eden",0,1,0,0
"Traboulet",1,0,0,0
"Volldampf",0,0,1,0
"Dungeon!",1,0,0,0
"Genoa",0,0,1,0
"Crazy Race",1,0,0,0
"Web of Gold",0,0,1,0
"Das Amulett",0,1,0,0
"Bali",0,1,0,0
"Time's Up!",0,0,1,0
"Zaubercocktail",1,0,0,0
"Hexen Rennen",0,1,0,0
"Field Command",0,0,0,1
"Wit's End",0,1,0,0
"The Classic Dungeon",1,0,0,0
"Mustangs",0,0,1,0
"Rise of the Luftwaffe",1,0,0,0
"Midway",0,0,0,1
"Guadalcanal",0,0,0,1
"Don",1,0,0,0
"Odysseus",0,1,0,0
"Ebbe & Flut",0,1,0,0
"Jockey",0,1,0,0
"Pokémon Master Trainer",0,1,0,0
"Winner's Circle",0,1,0,0
"Alaska",0,1,0,0
"Auf Kurs",0,1,0,0
"Chicago",0,0,1,0
"Neolithibum",0,1,0,0
"Turn the Tide",1,0,0,0
"Strand-Cup",0,1,0,0
"Monopoly",0,0,0,1
"Alcatraz",1,0,0,0
"Gammarauders",0,0,1,0
"Trendy",1,0,0,0
"Attack Sub",1,0,0,0
"Decathlon",0,0,1,0
"Meridian",1,0,0,0
"Alibi",0,1,0,0
"Pylos",1,0,0,0
"Monopoly Express",1,0,0,0
"Lost Worlds",1,0,0,0
"Wadjet",0,0,1,0
"Storm over Arnhem",0,0,0,1
"Raid on St. Nazaire",0,0,0,1
"Lord of the Rings: The Search",1,0,0,0
"Image",1,0,0,0
"Caesar at Alesia",0,0,0,1
"War at Sea (second edition)",0,0,1,0
"Dealer's Choice",0,1,0,0
"4000 A.D.",0,0,1,0
"Billionaire",0,1,0,0
"Trust Me",0,1,0,0
"Penguin Pile-Up",1,0,0,0
"Victory in the Pacific",0,0,0,1
"SPQR",0,0,0,1
"Canasta Caliente",0,1,0,0
"Cheater",0,1,0,0
"1841",0,0,0,1
"Freight Train",0,0,1,0
"Kings Cribbage",1,0,0,0
"Jagd der Vampire",0,1,0,0
"Mhing",0,1,0,0
"Sharp Shooters",1,0,0,0
"Earthquake",1,0,0,0
"Girl Genius: The Works",1,0,0,0
"Wizard",0,1,0,0
"Abduction",1,0,0,0
"Venezia",0,1,0,0
"Gangsters",0,0,1,0
"Five Crowns",1,0,0,0
"Days of Decision II",0,0,0,1
"Ubi",0,1,0,0
"Clue: The Great Museum Caper",1,0,0,0
"Deadwood Studios USA",0,1,0,0
"Outpost",0,0,0,1
"1853",0,0,0,1
"Imperium Romanum II",0,0,0,1
"Dino Hunt",0,1,0,0
"Paydirt",0,0,1,0
